,data,variavel,grupo,valor
75,2022-09-01,IPCA peso mensal,2.Habitação,0.6
76,2022-10-01,IPCA peso mensal,2.Habitação,0.34
77,2022-11-01,IPCA peso mensal,2.Habitação,0.51
78,2022-12-01,IPCA peso mensal,2.Habitação,0.2
79,2023-01-01,IPCA peso mensal,2.Habitação,0.33
80,2023-02-01,IPCA peso mensal,2.Habitação,0.82
81,2023-03-01,IPCA peso mensal,2.Habitação,0.57
82,2023-04-01,IPCA peso mensal,2.Habitação,0.48
83,2023-05-01,IPCA peso mensal,2.Habitação,0.67
84,2023-06-01,IPCA peso mensal,2.Habitação,0.69
85,2023-07-01,IPCA peso mensal,2.Habitação,-1.01
86,2020-01-01,IPCA peso mensal,3.Artigos de residência,-0.07
87,2020-02-01,IPCA peso mensal,3.Artigos de residência,-0.08
88,2020-03-01,IPCA peso mensal,3.Artigos de residência,-1.08
89,2020-04-01,IPCA peso mensal,3.Artigos de residência,-1.37
90,2020-05-01,IPCA peso mensal,3.Artigos de residência,0.58
91,2020-06-01,IPCA peso mensal,3.Artigos de residência,1.3
92,2020-07-01,IPCA peso mensal,3.Artigos de residência,0.9
93,2020-08-01,IPCA peso mensal,3.Artigos de residência,0.56
94,2020-09-01,IPCA peso mensal,3.Artigos de residência,1.0
95,2020-10-01,IPCA peso mensal,3.Artigos de residência,1.53
96,2020-11-01,IPCA peso mensal,3.Artigos de residência,0.86
97,2020-12-01,IPCA peso mensal,3.Artigos de residência,1.76
98,2021-01-01,IPCA peso mensal,3.Artigos de residência,0.86
99,2021-02-01,IPCA peso mensal,3.Artigos de residência,0.66
100,2021-03-01,IPCA peso mensal,3.Artigos de residência,0.69
101,2021-04-01,IPCA peso mensal,3.Artigos de residência,0.57
102,2021-05-01,IPCA peso mensal,3.Artigos de residência,1.25
103,2021-06-01,IPCA peso mensal,3.Artigos de residência,1.09
104,2021-07-01,IPCA peso mensal,3.Artigos de residência,0.78
105,2021-08-01,IPCA peso mensal,3.Artigos de residência,0.99
106,2021-09-01,IPCA peso mensal,3.Artigos de residência,0.9
107,2021-10-01,IPCA peso mensal,3.Artigos de residência,1.27
108,2021-11-01,IPCA peso mensal,3.Artigos de residência,1.03
109,2021-12-01,IPCA peso mensal,3.Artigos de residência,1.37
110,2022-01-01,IPCA peso mensal,3.Artigos de residência,1.82
111,2022-02-01,IPCA peso mensal,3.Artigos de residência,1.76
112,2022-03-01,IPCA peso mensal,3.Artigos de residência,0.57
113,2022-04-01,IPCA peso mensal,3.Artigos de residência,1.53
114,2022-05-01,IPCA peso mensal,3.Artigos de residência,0.66
115,2022-06-01,IPCA peso mensal,3.Artigos de residência,0.55
116,2022-07-01,IPCA peso mensal,3.Artigos de residência,0.12
117,2022-08-01,IPCA peso mensal,3.Artigos de residência,0.42
118,2022-09-01,IPCA peso mensal,3.Artigos de residência,-0.13
119,2022-10-01,IPCA peso mensal,3.Artigos de residência,0.39
120,2022-11-01,IPCA peso mensal,3.Artigos de residência,-0.68
121,2022-12-01,IPCA peso mensal,3.Artigos de residência,0.64
122,2023-01-01,IPCA peso mensal,3.Artigos de residência,0.7
123,2023-02-01,IPCA peso mensal,3.Artigos de residência,0.11
124,2023-03-01,IPCA peso mensal,3.Artigos de residência,-0.27
125,2023-04-01,IPCA peso mensal,3.Artigos de residência,0.17
126,2023-05-01,IPCA peso mensal,3.Artigos de residência,-0.23
127,2023-06-01,IPCA peso mensal,3.Artigos de residência,-0.42
128,2023-07-01,IPCA peso mensal,3.Artigos de residência,0.04
129,2020-01-01,IPCA peso mensal,4.Vestuário,-0.48
130,2020-02-01,IPCA peso mensal,4.Vestuário,-0.73
131,2020-03-01,IPCA peso mensal,4.Vestuário,0.21
132,2020-04-01,IPCA peso mensal,4.Vestuário,0.1
133,2020-05-01,IPCA peso mensal,4.Vestuário,-0.58
134,2020-06-01,IPCA peso mensal,4.Vestuário,-0.46
135,2020-07-01,IPCA peso mensal,4.Vestuário,-0.52
136,2020-08-01,IPCA peso mensal,4.Vestuário,-0.78
137,2020-09-01,IPCA peso mensal,4.Vestuário,0.37
138,2020-10-01,IPCA peso mensal,4.Vestuário,1.11
139,2020-11-01,IPCA peso mensal,4.Vestuário,0.07
140,2020-12-01,IPCA peso mensal,4.Vestuário,0.59
141,2021-01-01,IPCA peso mensal,4.Vestuário,-0.07
142,2021-02-01,IPCA peso mensal,4.Vestuário,0.38
143,2021-03-01,IPCA peso mensal,4.Vestuário,0.29
144,2021-04-01,IPCA peso mensal,4.Vestuário,0.47
145,2021-05-01,IPCA peso mensal,4.Vestuário,0.92
146,2021-06-01,IPCA peso mensal,4.Vestuário,1.21
147,2021-07-01,IPCA peso mensal,4.Vestuário,0.53
148,2021-08-01,IPCA peso mensal,4.Vestuário,1.02
149,2021-09-01,IPCA peso mensal,4.Vestuário,0.31
150,2021-10-01,IPCA peso mensal,4.Vestuário,1.8
151,2021-11-01,IPCA peso mensal,4.Vestuário,0.95
152,2021-12-01,IPCA peso mensal,4.Vestuário,2.06
153,2022-01-01,IPCA peso mensal,4.Vestuário,1.07
154,2022-02-01,IPCA peso mensal,4.Vestuário,0.88
155,2022-03-01,IPCA peso mensal,4.Vestuário,1.82
156,2022-04-01,IPCA peso mensal,4.Vestuário,1.26
157,2022-05-01,IPCA peso mensal,4.Vestuário,2.11
158,2022-06-01,IPCA peso mensal,4.Vestuário,1.67
159,2022-07-01,IPCA peso mensal,4.Vestuário,0.58
160,2022-08-01,IPCA peso mensal,4.Vestuário,1.69
161,2022-09-01,IPCA peso mensal,4.Vestuário,1.77
162,2022-10-01,IPCA peso mensal,4.Vestuário,1.22
163,2022-11-01,IPCA peso mensal,4.Vestuário,1.1
164,2022-12-01,IPCA peso mensal,4.Vestuário,1.52
165,2023-01-01,IPCA peso mensal,4.Vestuário,-0.27
166,2023-02-01,IPCA peso mensal,4.Vestuário,-0.24
167,2023-03-01,IPCA peso mensal,4.Vestuário,0.31
168,2023-04-01,IPCA peso mensal,4.Vestuário,0.79
169,2023-05-01,IPCA peso mensal,4.Vestuário,0.47
170,2023-06-01,IPCA peso mensal,4.Vestuário,0.35
171,2023-07-01,IPCA peso mensal,4.Vestuário,-0.24
172,2020-01-01,IPCA peso mensal,5.Transportes,0.32
173,2020-02-01,IPCA peso mensal,5.Transportes,-0.23
174,2020-03-01,IPCA peso mensal,5.Transportes,-0.9
175,2020-04-01,IPCA peso mensal,5.Transportes,-2.66
176,2020-05-01,IPCA peso mensal,5.Transportes,-1.9
177,2020-06-01,IPCA peso mensal,5.Transportes,0.31
178,2020-07-01,IPCA peso mensal,5.Transportes,0.78
179,2020-08-01,IPCA peso mensal,5.Transportes,0.82
180,2020-09-01,IPCA peso mensal,5.Transportes,0.7
181,2020-10-01,IPCA peso mensal,5.Transportes,1.19
182,2020-11-01,IPCA peso mensal,5.Transportes,1.33
183,2020-12-01,IPCA peso mensal,5.Transportes,1.36
184,2021-01-01,IPCA peso mensal,5.Transportes,0.41
185,2021-02-01,IPCA peso mensal,5.Transportes,2.28
186,2021-03-01,IPCA peso mensal,5.Transportes,3.81
187,2021-04-01,IPCA peso mensal,5.Transportes,-0.08
188,2021-05-01,IPCA peso mensal,5.Transportes,1.15
189,2021-06-01,IPCA peso mensal,5.Transportes,0.41
190,2021-07-01,IPCA peso mensal,5.Transportes,1.52
191,2021-08-01,IPCA peso mensal,5.Transportes,1.46
192,2021-09-01,IPCA peso mensal,5.Transportes,1.82
193,2021-10-01,IPCA peso mensal,5.Transportes,2.62
194,2021-11-01,IPCA peso mensal,5.Transportes,3.35
195,2021-12-01,IPCA peso mensal,5.Transportes,0.58
196,2022-01-01,IPCA peso mensal,5.Transportes,-0.11
197,2022-02-01,IPCA peso mensal,5.Transportes,0.46
198,2022-03-01,IPCA peso mensal,5.Transportes,3.02
199,2022-04-01,IPCA peso mensal,5.Transportes,1.91
200,2022-05-01,IPCA peso mensal,5.Transportes,1.34
201,2022-06-01,IPCA peso mensal,5.Transportes,0.57
202,2022-07-01,IPCA peso mensal,5.Transportes,-4.51
203,2022-08-01,IPCA peso mensal,5.Transportes,-3.37
204,2022-09-01,IPCA peso mensal,5.Transportes,-1.98
205,2022-10-01,IPCA peso mensal,5.Transportes,0.58
206,2022-11-01,IPCA peso mensal,5.Transportes,0.83
207,2022-12-01,IPCA peso mensal,5.Transportes,0.21
208,2023-01-01,IPCA peso mensal,5.Transportes,0.55
209,2023-02-01,IPCA peso mensal,5.Transportes,0.37
210,2023-03-01,IPCA peso mensal,5.Transportes,2.11
211,2023-04-01,IPCA peso mensal,5.Transportes,0.56
212,2023-05-01,IPCA peso mensal,5.Transportes,-0.57
213,2023-06-01,IPCA peso mensal,5.Transportes,-0.41
214,2023-07-01,IPCA peso mensal,5.Transportes,1.5
215,2020-01-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.32
216,2020-02-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.73
217,2020-03-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.21
218,2020-04-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.22
219,2020-05-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.1
220,2020-06-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.35
221,2020-07-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.44
222,2020-08-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.5
223,2020-09-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.64
224,2020-10-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.28
225,2020-11-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.13
226,2020-12-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.4
227,2021-01-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.32
228,2021-02-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.62
229,2021-03-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.02
230,2021-04-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.19
231,2021-05-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.76
232,2021-06-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.51
233,2021-07-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.65
234,2021-08-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.04
235,2021-09-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.39
236,2021-10-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.39
237,2021-11-01,IPCA peso mensal,6.Saúde e cuidados pessoais,-0.57
238,2021-12-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.75
239,2022-01-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.36
240,2022-02-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.47
241,2022-03-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.88
242,2022-04-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.77
243,2022-05-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.01
244,2022-06-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.24
245,2022-07-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.49
246,2022-08-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.31
247,2022-09-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.57
248,2022-10-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.16
249,2022-11-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.02
250,2022-12-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.6
251,2023-01-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.16
252,2023-02-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.26
253,2023-03-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.82
254,2023-04-01,IPCA peso mensal,6.Saúde e cuidados pessoais,1.49
255,2023-05-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.93
256,2023-06-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.11
257,2023-07-01,IPCA peso mensal,6.Saúde e cuidados pessoais,0.26
258,2020-01-01,IPCA peso mensal,7.Despesas pessoais,0.35
259,2020-02-01,IPCA peso mensal,7.Despesas pessoais,0.31
260,2020-03-01,IPCA peso mensal,7.Despesas pessoais,-0.23
261,2020-04-01,IPCA peso mensal,7.Despesas pessoais,-0.14
262,2020-05-01,IPCA peso mensal,7.Despesas pessoais,-0.04
263,2020-06-01,IPCA peso mensal,7.Despesas pessoais,-0.05
264,2020-07-01,IPCA peso mensal,7.Despesas pessoais,-0.11
265,2020-08-01,IPCA peso mensal,7.Despesas pessoais,-0.01
266,2020-09-01,IPCA peso mensal,7.Despesas pessoais,0.09
267,2020-10-01,IPCA peso mensal,7.Despesas pessoais,0.19
268,2020-11-01,IPCA peso mensal,7.Despesas pessoais,0.01
269,2020-12-01,IPCA peso mensal,7.Despesas pessoais,0.65
270,2021-01-01,IPCA peso mensal,7.Despesas pessoais,0.39
271,2021-02-01,IPCA peso mensal,7.Despesas pessoais,0.17
272,2021-03-01,IPCA peso mensal,7.Despesas pessoais,0.04
273,2021-04-01,IPCA peso mensal,7.Despesas pessoais,0.01
274,2021-05-01,IPCA peso mensal,7.Despesas pessoais,0.21
275,2021-06-01,IPCA peso mensal,7.Despesas pessoais,0.29
276,2021-07-01,IPCA peso mensal,7.Despesas pessoais,0.45
277,2021-08-01,IPCA peso mensal,7.Despesas pessoais,0.64
278,2021-09-01,IPCA peso mensal,7.Despesas pessoais,0.56
279,2021-10-01,IPCA peso mensal,7.Despesas pessoais,0.75
280,2021-11-01,IPCA peso mensal,7.Despesas pessoais,0.57
281,2021-12-01,IPCA peso mensal,7.Despesas pessoais,0.56
282,2022-01-01,IPCA peso mensal,7.Despesas pessoais,0.78
283,2022-02-01,IPCA peso mensal,7.Despesas pessoais,0.64
284,2022-03-01,IPCA peso mensal,7.Despesas pessoais,0.59
285,2022-04-01,IPCA peso mensal,7.Despesas pessoais,0.48
286,2022-05-01,IPCA peso mensal,7.Despesas pessoais,0.52
287,2022-06-01,IPCA peso mensal,7.Despesas pessoais,0.49
288,2022-07-01,IPCA peso mensal,7.Despesas pessoais,1.13
289,2022-08-01,IPCA peso mensal,7.Despesas pessoais,0.54
290,2022-09-01,IPCA peso mensal,7.Despesas pessoais,0.95
291,2022-10-01,IPCA peso mensal,7.Despesas pessoais,0.57
292,2022-11-01,IPCA peso mensal,7.Despesas pessoais,0.21
293,2022-12-01,IPCA peso mensal,7.Despesas pessoais,0.62
294,2023-01-01,IPCA peso mensal,7.Despesas pessoais,0.76
295,2023-02-01,IPCA peso mensal,7.Despesas pessoais,0.44
296,2023-03-01,IPCA peso mensal,7.Despesas pessoais,0.38
297,2023-04-01,IPCA peso mensal,7.Despesas pessoais,0.18
298,2023-05-01,IPCA peso mensal,7.Despesas pessoais,0.64
299,2023-06-01,IPCA peso mensal,7.Despesas pessoais,0.36
300,2023-07-01,IPCA peso mensal,7.Despesas pessoais,0.38
301,2020-01-01,IPCA peso mensal,8.Educação,0.16
302,2020-02-01,IPCA peso mensal,8.Educação,3.7
303,2020-03-01,IPCA peso mensal,8.Educação,0.59
304,2020-04-01,IPCA peso mensal,8.Educação,0.0
305,2020-05-01,IPCA peso mensal,8.Educação,0.02
306,2020-06-01,IPCA peso mensal,8.Educação,0.05
307,2020-07-01,IPCA peso mensal,8.Educação,-0.12
308,2020-08-01,IPCA peso mensal,8.Educação,-3.47
309,2020-09-01,IPCA peso mensal,8.Educação,-0.09
310,2020-10-01,IPCA peso mensal,8.Educação,-0.04
311,2020-11-01,IPCA peso mensal,8.Educação,-0.02
312,2020-12-01,IPCA peso mensal,8.Educação,0.48
313,2021-01-01,IPCA peso mensal,8.Educação,0.13
314,2021-02-01,IPCA peso mensal,8.Educação,2.48
315,2021-03-01,IPCA peso mensal,8.Educação,-0.52
316,2021-04-01,IPCA peso mensal,8.Educação,0.04
317,2021-05-01,IPCA peso mensal,8.Educação,0.06
318,2021-06-01,IPCA peso mensal,8.Educação,0.05
319,2021-07-01,IPCA peso mensal,8.Educação,0.18
320,2021-08-01,IPCA peso mensal,8.Educação,0.28
321,2021-09-01,IPCA peso mensal,8.Educação,-0.01
322,2021-10-01,IPCA peso mensal,8.Educação,0.06
323,2021-11-01,IPCA peso mensal,8.Educação,0.02
324,2021-12-01,IPCA peso mensal,8.Educação,0.05
325,2022-01-01,IPCA peso mensal,8.Educação,0.25
326,2022-02-01,IPCA peso mensal,8.Educação,5.61
327,2022-03-01,IPCA peso mensal,8.Educação,0.15
328,2022-04-01,IPCA peso mensal,8.Educação,0.06
329,2022-05-01,IPCA peso mensal,8.Educação,0.04
330,2022-06-01,IPCA peso mensal,8.Educação,0.09
331,2022-07-01,IPCA peso mensal,8.Educação,0.06
332,2022-08-01,IPCA peso mensal,8.Educação,0.61
333,2022-09-01,IPCA peso mensal,8.Educação,0.12
334,2022-10-01,IPCA peso mensal,8.Educação,0.18
335,2022-11-01,IPCA peso mensal,8.Educação,0.02
336,2022-12-01,IPCA peso mensal,8.Educação,0.19
337,2023-01-01,IPCA peso mensal,8.Educação,0.36
338,2023-02-01,IPCA peso mensal,8.Educação,6.28
339,2023-03-01,IPCA peso mensal,8.Educação,0.1
340,2023-04-01,IPCA peso mensal,8.Educação,0.09
341,2023-05-01,IPCA peso mensal,8.Educação,0.05
342,2023-06-01,IPCA peso mensal,8.Educação,0.06
343,2023-07-01,IPCA peso mensal,8.Educação,0.13
344,2020-01-01,IPCA peso mensal,9.Comunicação,0.12
345,2020-02-01,IPCA peso mensal,9.Comunicação,0.21
346,2020-03-01,IPCA peso mensal,9.Comunicação,0.04
347,2020-04-01,IPCA peso mensal,9.Comunicação,-0.2
348,2020-05-01,IPCA peso mensal,9.Comunicação,0.24
349,2020-06-01,IPCA peso mensal,9.Comunicação,0.75
350,2020-07-01,IPCA peso mensal,9.Comunicação,0.51
351,2020-08-01,IPCA peso mensal,9.Comunicação,0.67
352,2020-09-01,IPCA peso mensal,9.Comunicação,0.15
353,2020-10-01,IPCA peso mensal,9.Comunicação,0.21
354,2020-11-01,IPCA peso mensal,9.Comunicação,0.29
355,2020-12-01,IPCA peso mensal,9.Comunicação,0.39
356,2021-01-01,IPCA peso mensal,9.Comunicação,0.02
357,2021-02-01,IPCA peso mensal,9.Comunicação,-0.13
358,2021-03-01,IPCA peso mensal,9.Comunicação,-0.07
359,2021-04-01,IPCA peso mensal,9.Comunicação,0.08
360,2021-05-01,IPCA peso mensal,9.Comunicação,0.21
361,2021-06-01,IPCA peso mensal,9.Comunicação,-0.12
362,2021-07-01,IPCA peso mensal,9.Comunicação,0.12
363,2021-08-01,IPCA peso mensal,9.Comunicação,0.23
364,2021-09-01,IPCA peso mensal,9.Comunicação,0.07
365,2021-10-01,IPCA peso mensal,9.Comunicação,0.54
366,2021-11-01,IPCA peso mensal,9.Comunicação,0.09
367,2021-12-01,IPCA peso mensal,9.Comunicação,0.34
368,2022-01-01,IPCA peso mensal,9.Comunicação,1.05
369,2022-02-01,IPCA peso mensal,9.Comunicação,0.29
370,2022-03-01,IPCA peso mensal,9.Comunicação,-0.05
371,2022-04-01,IPCA peso mensal,9.Comunicação,0.08
372,2022-05-01,IPCA peso mensal,9.Comunicação,0.72
373,2022-06-01,IPCA peso mensal,9.Comunicação,0.16
374,2022-07-01,IPCA peso mensal,9.Comunicação,0.07
375,2022-08-01,IPCA peso mensal,9.Comunicação,-1.1
376,2022-09-01,IPCA peso mensal,9.Comunicação,-2.08
377,2022-10-01,IPCA peso mensal,9.Comunicação,-0.48
378,2022-11-01,IPCA peso mensal,9.Comunicação,-0.14
379,2022-12-01,IPCA peso mensal,9.Comunicação,0.5
380,2023-01-01,IPCA peso mensal,9.Comunicação,2.09
381,2023-02-01,IPCA peso mensal,9.Comunicação,0.98
382,2023-03-01,IPCA peso mensal,9.Comunicação,0.5
383,2023-04-01,IPCA peso mensal,9.Comunicação,0.08
384,2023-05-01,IPCA peso mensal,9.Comunicação,0.21
385,2023-06-01,IPCA peso mensal,9.Comunicação,-0.14
386,2023-07-01,IPCA peso mensal,9.Comunicação,0.0
